Lambda_GeV,mrho_GeV,theta_rad,theta_deg,Deltakappa_pct,sigmaBR_WW_fb,fk_profile
1500.0,1000.0,-0.5904879204620799,-33.83246569593382,-16.933087972596507,20.57430078894756,fk_plus30pct
1589.7435897435898,1000.0,-0.6100716884302837,-34.95453294747539,-18.039305222964074,21.715278197909736,fk_plus30pct
1679.4871794871794,1000.0,-0.6270516668133613,-35.92741404504911,-19.023901111791442,22.717946305294177,fk_plus30pct
1769.2307692307693,1000.0,-0.6418196902093288,-36.77355945738851,-19.899228019210735,23.599164550510032,fk_plus30pct
1858.974358974359,1000.0,-0.6547109100735192,-37.51217194838183,-20.677600323861554,24.374730685118454,fk_plus30pct
1948.7179487179487,1000.0,-0.6660083748544573,-38.15946899952726,-21.37058417555474,25.05884354441549,fk_plus30pct
2038.4615384615386,1000.0,-0.6759495143635607,-38.729054336949645,-21.98867496902728,25.66395729319956,fk_plus30pct
2128.205128205128,1000.0,-0.6847329046025287,-39.23230552745891,-22.541199648409847,26.200839050578114,fk_plus30pct
2217.948717948718,1000.0,-0.6925245521520834,-39.67873404750185,-23.036341232350665,26.678720181855216,fk_plus30pct
2307.6923076923076,1000.0,-0.699463404059011,-40.07630097643511,-23.48122382485085,27.10548057910892,fk_plus30pct
2397.4358974358975,1000.0,-0.7056660259068982,-40.431685030234675,-23.882022444686758,27.48783433055518,fk_plus30pct
2487.1794871794873,1000.0,-0.7112305005390134,-40.750505941862485,-24.244077974343035,27.831501737766143,fk_plus30pct
2576.923076923077,1000.0,-0.7162396427676955,-41.03750865054673,-24.57200701504505,28.14136171413492,fk_plus30pct
2666.6666666666665,1000.0,-0.7207636348347313,-41.29671430253855,-24.86980191184669,28.42158334521778,fk_plus30pct
2756.4102564102564,1000.0,-0.7248621814043532,-41.5315437231157,-25.140919274717877,28.675737706035587,fk_plus30pct
2846.1538461538457,1000.0,-0.7285862708330277,-41.74491832990804,-25.388356957949163,28.90689201603493,fk_plus30pct
2935.8974358974356,1000.0,-0.7319796160050683,-41.93934268669706,-25.614720271950652,29.117688498624062,fk_plus30pct
