Lambda_GeV,mrho_GeV,theta_rad,theta_deg,Deltakappa_pct,sigmaBR_WW_fb,fk_profile
1500.0,1000.0,-0.4595141281182762,-26.328220167811015,-10.373190634706253,13.493969018733086,fk_minus30pct
1589.7435897435898,1000.0,-0.48705451787480636,-27.90616826700552,-11.628475075065303,14.890459890260288,fk_minus30pct
1679.4871794871794,1000.0,-0.5120281123004595,-29.337049826866885,-12.824736485769572,16.202958945153032,fk_minus30pct
1769.2307692307693,1000.0,-0.5345719969169472,-30.62871926922153,-13.951323599002253,17.42265806022734,fk_minus30pct
1858.974358974359,1000.0,-0.5548662999040919,-31.79149717854466,-15.002911495689231,18.546843411189766,fk_minus30pct
1948.7179487179487,1000.0,-0.5731101805167004,-32.83679453958767,-15.978144716063614,19.57704896653282,fk_minus30pct
2038.4615384615386,1000.0,-0.5895054899026095,-33.776176571211494,-16.878429636663782,20.51752837708092,fk_minus30pct
2128.205128205128,1000.0,-0.6042465488670888,-34.62077703542965,-17.706960143997662,21.37409744536507,fk_minus30pct
2217.948717948718,1000.0,-0.6175143862866411,-35.38096812283574,-18.467983004301413,22.153313778831986,fk_minus30pct
2307.6923076923076,1000.0,-0.6294740166314459,-36.06620446612964,-19.166272313162636,22.861927926563897,fk_minus30pct
2397.4358974358975,1000.0,-0.6402736671371887,-36.684978860325025,-19.806770491640734,23.5065371313726,fk_minus30pct
2487.1794871794873,1000.0,-0.6500451782268442,-37.24484520522756,-20.394354351208843,24.093382380244368,fk_minus30pct
2576.923076923077,1000.0,-0.6589050526924447,-37.7524786191222,-20.933691155508427,24.62824253567171,fk_minus30pct
2666.6666666666665,1000.0,-0.6669558148980015,-38.21375331536404,-21.42915726081489,25.116391695339015,fk_minus30pct
2756.4102564102564,1000.0,-0.674287470690393,-38.63382624911071,-21.884798943324302,25.562596024219577,fk_minus30pct
2846.1538461538457,1000.0,-0.6809789452344406,-39.01721949920387,-22.304320767213525,25.97113392847471,fk_minus30pct
2935.8974358974356,1000.0,-0.6870994319074075,-39.36789755413094,-22.691091250927542,26.345828925172423,fk_minus30pct
3025.6410256410254,1000.0,-0.6927096203856008,-39.68933767620434,-23.048158827630427,26.69008837614005,fk_minus30pct
3115.3846153846152,1000.0,-0.6978627931984094,-39.98459272947983,-23.37827341069435,27.006943840460576,fk_minus30pct
3205.128205128205,1000.0,-0.7026057922259625,-40.25634655599328,-23.683910495328963,27.299090516968995,fk_minus30pct
3294.871794871795,1000.0,-0.7069798631820797,-40.50696236106955,-23.967295842373293,27.56892436549259,fk_minus30pct
3384.6153846153848,1000.0,-0.7110213892266873,-40.73852474621776,-24.23042954601966,27.81857620762069,fk_minus30pct
3474.358974358974,1000.0,-0.7147625258910502,-40.952876087667406,-24.475108791941448,28.04994255006825,fk_minus30pct
3564.102564102564,1000.0,-0.7182317493608821,-41.151647950676505,-24.70294894381294,28.264713139012244,fk_minus30pct
3653.846153846154,1000.0,-0.7214543293969712,-41.336288185887526,-24.915402809565258,28.4643954046885,fk_minus30pct
3743.5897435897436,1000.0,-0.7244527371149301,-41.50808429338603,-25.11377807229436,28.650336033715114,fk_minus30pct
3833.333333333333,1000.0,-0.7272469966925625,-41.66818357404837,-25.29925295101353,28.82373993952088,fk_minus30pct
3923.076923076923,1000.0,-0.72985498893691,-41.81761052265234,-25.47289020155955,28.985686906820018,fk_minus30pct
4012.8205128205127,1000.0,-0.7322927135822224,-41.95728185644376,-25.635649590240373,29.137146175840524,fk_minus30pct
4102.5641025641025,1000.0,-0.7345745162319534,-42.08801951795511,-25.788398980569347,29.27898921333025,fk_minus30pct
4192.3076923076915,1000.0,-0.7367132850107151,-42.21056194233251,-25.931924172225717,29.412000894819247,fk_minus30pct
4282.051282051281,1000.0,-0.7387206212537847,-42.32557383712404,-26.06693762490524,29.536889299002173,fk_minus30pct
4371.794871794871,1000.0,-0.7406069879245645,-42.43365468597387,-26.194086190390177,29.654294292052793,fk_minus30pct
4461.538461538461,1000.0,-0.7423818389042278,-42.53534615637324,-26.313957965530733,29.764795058090172,fk_minus30pct
4551.282051282051,1000.0,-0.7440537318318242,-42.63113856492228,-26.42708836786929,29.868916712316786,fk_minus30pct
4641.025641025641,1000.0,-0.7456304267768056,-42.72147653084932,-26.53396552494768,29.967136115690145,fk_minus30pct
4730.7692307692305,1000.0,-0.7471189726895388,-42.806763929260384,-26.63503505825805,30.059886994356095,fk_minus30pct
4820.51282051282,1000.0,-0.7485257832901228,-42.88736823924811,-26.730704333505983,30.14756445334926,fk_minus30pct
4910.25641025641,1000.0,-0.7498567038140718,-42.96362436813773,-26.82134624041965,30.230528962096603,fk_minus30pct
5000.0,1000.0,-0.7511170698285048,-43.03583802140647,-26.907302557768265,30.309109878864813,fk_minus30pct
1500.0,1179.4871794871794,-0.37668178420314513,-21.58227645429786,-7.010968507345805,6.353603308929149,fk_minus30pct
1589.7435897435898,1179.4871794871794,-0.40571874093789473,-23.245971525102984,-8.118103762209007,7.133199384732802,fk_minus30pct
1679.4871794871794,1179.4871794871794,-0.4330067305165079,-24.80945815935449,-9.229177531644106,7.906181381450604,fk_minus30pct
1769.2307692307693,1179.4871794871794,-0.4584396717222403,-26.266658351047322,-10.325588874578429,8.659743881105955,fk_minus30pct
1858.974358974359,1179.4871794871794,-0.48198946149924105,-27.615961913689794,-11.392552384891118,9.384275033997232,fk_minus30pct
1948.7179487179487,1179.4871794871794,-0.503687607007497,-28.85917407457361,-12.419133395103577,10.073198011597427,fk_minus30pct
2038.4615384615386,1179.4871794871794,-0.5236077221918094,-30.000512602049174,-13.397906954697557,10.72256205607182,fk_minus30pct
2128.205128205128,1179.4871794871794,-0.5418505054390494,-31.045747088687992,-14.324419809782608,11.330530153094132,fk_minus30pct
2217.948717948718,1179.4871794871794,-0.5585318080010546,-32.00151532227166,-15.1965919107234,11.896865141151459,fk_minus30pct
2307.6923076923076,1179.4871794871794,-0.5737737428419971,-32.87481386027106,-16.01414473910615,12.422471954795109,fk_minus30pct
2397.4358974358975,1179.4871794871794,-0.5876984367067681,-33.672640049734156,-16.77810227480738,12.909020270171357,fk_minus30pct
2487.1794871794873,1179.4871794871794,-0.6004239034406982,-34.40175558592247,-17.49038131243701,13.358650612235644,fk_minus30pct
2576.923076923077,1179.4871794871794,-0.612061522852009,-35.0685420617701,-18.153470237898272,13.773755716262798,fk_minus30pct
2666.6666666666665,1179.4871794871794,-0.622714678497037,-35.67892291872618,-18.770186398485254,14.156824389130755,fk_minus30pct
2756.4102564102564,1179.4871794871794,-0.6324781969503628,-36.238331319299846,-19.343498816895533,14.510334491457641,fk_minus30pct
2846.1538461538457,1179.4871794871794,-0.6414383175449911,-36.7517084133003,-19.87640281712538,14.836682986046293,fk_minus30pct
2935.8974358974356,1179.4871794871794,-0.6496729953050033,-37.22352069459924,-20.371834522189136,15.138143057581821,fk_minus30pct
3025.6410256410254,1179.4871794871794,-0.6572523982327084,-37.65778849358584,-20.83261516246049,15.416840443983178,fk_minus30pct
3115.3846153846152,1179.4871794871794,-0.6642395042198774,-38.05812017766121,-21.261417160843756,15.67474302442185,fk_minus30pct
3205.128205128205,1179.4871794871794,-0.6706907349841851,-38.427748473121,-21.66074578174353,15.913659276975894,fk_minus30pct
3294.871794871795,1179.4871794871794,-0.676656587196059,-38.76956662606016,-22.032931652725264,16.135242446998333,fk_minus30pct
3384.6153846153848,1179.4871794871794,-0.6821822367078729,-39.086163022155624,-22.38013068396214,16.34099819711998,fk_minus30pct
3474.358974358974,1179.4871794871794,-0.6873081024462251,-39.37985349531391,-22.704328853170907,16.532294196617872,fk_minus30pct
3564.102564102564,1179.4871794871794,-0.6920703635590044,-39.65271095801544,-23.007350038333428,16.710370605536923,fk_minus30pct
3653.846153846154,1179.4871794871794,-0.696501427921282,-39.90659224472477,-23.290865613209476,16.876350763845668,fk_minus30pct
3743.5897435897436,1179.4871794871794,-0.700630352892895,-40.14316221952437,-23.556404912443973,17.031251645392995,fk_minus30pct
3833.333333333333,1179.4871794871794,-0.7044832208497211,-40.3639152924717,-23.805365957931603,17.17599380936911,fk_minus30pct
3923.076923076923,1179.4871794871794,-0.7080834728736699,-40.5701945386274,-24.039026043030265,17.31141070004499,fk_minus30pct
4012.8205128205127,1179.4871794871794,-0.7114522043543772,-40.76320863478478,-24.258551917097382,17.438257224747804,fk_minus30pct
4102.5641025641025,1179.4871794871794,-0.7146084263128191,-40.94404683221002,-24.46500941549762,17.557217591931522,fk_minus30pct
4192.3076923076915,1179.4871794871794,-0.7175692961272851,-41.11369217626661,-24.659372451542794,17.66891242415623,fk_minus30pct
4282.051282051281,1179.4871794871794,-0.7203503211072747,-41.27303317034046,-24.842531335541796,17.77390518073146,fk_minus30pct
