Lambda_GeV,mrho_GeV,theta_rad,theta_deg,Deltakappa_pct,sigmaBR_WW_fb,fk_profile
1500.0,1000.0,-0.5401216930812027,-30.946693437013312,-14.235389177999524,17.727697065942486,central
1589.7435897435898,1000.0,-0.5634703787652071,-32.28447458388429,-15.459340455354731,19.030480523477372,central
1679.4871794871794,1000.0,-0.5840224752681918,-33.462022973650896,-16.574852397448993,20.201529671828613,central
1769.2307692307693,1000.0,-0.6021164142102099,-34.498729309795934,-17.586124997729335,21.249707544438174,central
1858.974358974359,1000.0,-0.61806724475245,-35.41264457959466,-18.500006541954505,22.18594416461589,central
1948.7179487179487,1000.0,-0.6321581733002459,-36.219995314803775,-19.324584896636864,23.021733736875305,central
2038.4615384615386,1000.0,-0.6446383061613083,-36.93505425550518,-20.06828355608358,23.76825441455839,central
2128.205128205128,1000.0,-0.6557238092312567,-37.57020679519254,-20.739319468228622,24.43590326025299,central
2217.948717948718,1000.0,-0.6656007336041955,-38.13611287633183,-21.345404499768115,25.03409129184314,central
2307.6923076923076,1000.0,-0.6744284756682185,-38.641905239230454,-21.893603237070113,25.571192404448603,central
2397.4358974358975,1000.0,-0.6823433027719867,-39.09539142785213,-22.390286718810337,26.054577527572082,central
2487.1794871794873,1000.0,-0.6894616567086,-39.503243065500406,-22.841142125642012,26.490691572028904,central
2576.923076923077,1000.0,-0.6958831103178772,-39.871165255651036,-23.251212861980484,26.885147955268565,central
2666.6666666666665,1000.0,-0.7016929425289331,-40.2040441210237,-23.624953175456152,27.2428263909296,central
2756.4102564102564,1000.0,-0.7069643437420206,-40.50607316265375,-23.966287801129283,27.567966307870613,central
2846.1538461538457,1000.0,-0.7117602850636826,-40.78086035917738,-24.27867115991422,27.864252241822463,central
2935.8974358974356,1000.0,-0.7161350927135943,-41.031518373698866,-24.56514316256443,28.1348898369725,central
3025.6410256410254,1000.0,-0.7201357694604368,-41.260740266489066,-24.82838020891115,28.382672362399877,central
3115.3846153846152,1000.0,-0.7238031019608023,-41.470862940831175,-25.070740884923627,28.610038302910908,central
3205.128205128205,1000.0,-0.7271725884472575,-41.66392029563142,-25.294306381267806,28.819120880900723,central
3294.871794871795,1000.0,-0.7302752164471478,-41.84168778542425,-25.500915936574852,29.011790460691955,central
3384.6153846153848,1000.0,-0.7331381156666082,-42.00571982787063,-25.69219774195882,29.18969077237406,central
3474.358974358974,1000.0,-0.7357851070900182,-42.15738126483935,-25.869595790363466,29.354269823224385,central
3564.102564102564,1000.0,-0.7382371658027458,-42.29787388019692,-26.034393152303316,29.506806272824775,central
3653.846153846154,1000.0,-0.7405128120381945,-42.428258805152964,-26.187732131336915,29.648431950529545,central
3743.5897435897436,1000.0,-0.7426284424327324,-42.549475497769585,-26.33063171194161,29.780151100240097,central
3833.333333333333,1000.0,-0.7445986113829222,-42.66235786354318,-26.464002667459173,29.90285685192843,central
3923.076923076923,1000.0,-0.7464362706753135,-42.7676479851802,-26.588660651044727,30.01734534370333,central
4012.8205128205127,1000.0,-0.7481529741408249,-42.86600784842948,-26.705337550523822,30.12432785260842,central
4102.5641025641025,1000.0,-0.749759052921169,-42.95802938410872,-26.814691349900222,30.224441236185186,central
4192.3076923076915,1000.0,-0.7512637659790219,-43.044243091701915,-26.91731470634763,30.31825693918104,central
4282.051282051281,1000.0,-0.7526754296990681,-43.1251254649523,-27.0137424218282,30.40628877957975,central
4371.794871794871,1000.0,-0.7540015297824226,-43.20110540294046,-27.10445796274028,30.48899969433813,central
4461.538461538461,1000.0,-0.7552488181065868,-43.272569759751015,-27.18989915883633,30.566807596872366,central
4551.282051282051,1000.0,-0.756423396786019,-43.33986816078853,-27.270463193661055,30.640090474596185,central
4641.025641025641,1000.0,-0.7575307913075077,-43.40331719312574,-27.346510982537207,30.709190834933842,central
4730.7692307692305,1000.0,-0.7585760143159127,-43.46320406015732,-27.418371020296895,30.77441959157952,central
4820.51282051282,1000.0,-0.7595636213781783,-43.51978977664245,-27.486342769179473,30.83605946881919,central
4910.25641025641,1000.0,-0.7604977598476519,-43.57331196842409,-27.55069964729433,30.89436799002152,central
5000.0,1000.0,-0.7613822117791971,-43.62398733128383,-27.61169166951557,30.949580106566987,central
1500.0,1179.4871794871794,-0.464817957936862,-26.63210723167162,-10.609681739211318,8.853506823159828,central
1589.7435897435898,1179.4871794871794,-0.4921606884213645,-28.19873028879731,-11.868607612353832,9.704746732430367,central
1679.4871794871794,1179.4871794871794,-0.5169021043343115,-29.616308999786987,-13.064570416761434,10.502230522559875,central
1769.2307692307693,1179.4871794871794,-0.5391952254391634,-30.893610751269023,-14.187783286663135,11.241281767952653,central
1858.974358974359,1179.4871794871794,-0.5592321612103986,-32.04164260533551,-15.233727342019709,11.920849991779715,central
1948.7179487179487,1179.4871794871794,-0.5772205702926294,-33.07230252590213,-16.2017388966602,12.542358514285239,central
2038.4615384615386,1179.4871794871794,-0.5933679912590485,-33.997481597299,-17.093784924661858,13.108773673931346,central
2128.205128205128,1179.4871794871794,-0.6078722935209522,-34.82851690168814,-17.913494459556933,13.62391348462879,central
2217.948717948718,1179.4871794871794,-0.6209165000969017,-35.57589488558684,-18.665440386155918,14.0919664394124,central
2307.6923076923076,1179.4871794871794,-0.6326665322304673,-36.24912213598325,-19.354633600693226,14.517175521977782,central
2397.4358974358975,1179.4871794871794,-0.6432707905434445,-36.85670138218336,-19.986183026991622,14.903643258402774,central
2487.1794871794873,1179.4871794871794,-0.6528608137969798,-37.40616924004325,-20.565078238303137,15.255221013446736,central
2576.923076923077,1179.4871794871794,-0.6615525112300449,-37.904166819762565,-21.096059097371132,15.575454490061075,central
2666.6666666666665,1179.4871794871794,-0.669447648468188,-38.35652486218475,-21.583545114435953,15.86756523800624,central
2756.4102564102564,1179.4871794871794,-0.6766353930595568,-38.768352291488156,-22.03160451509486,16.13445420203686,central
2846.1538461538457,1179.4871794871794,-0.6831938087158513,-39.144121828886355,-22.44394882539923,16.378717948871582,central
2935.8974358974356,1179.4871794871794,-0.6891912402023451,-39.487749340981324,-22.82394316093902,16.602671476872935,central
3025.6410256410254,1179.4871794871794,-0.6946875633851786,-39.802665462197595,-23.174625583968844,16.80837375387722,central
3115.3846153846152,1179.4871794871794,-0.6997352942419462,-40.09187913640834,-23.498731138216755,16.997653630840684,central
3205.128205128205,1179.4871794871794,-0.7043805614872931,-40.358033344277075,-23.79871772687797,17.172134764949828,central
3294.871794871795,1179.4871794871794,-0.7086639530560102,-40.60345360316648,-24.076792059682116,17.33325881991659,central
3384.6153846153848,1179.4871794871794,-0.7126212490977585,-40.830189964642486,-24.334934606760626,17.482306609745144,central
3474.358974358974,1179.4871794871794,-0.7162840546922679,-41.04005326638478,-24.57492296747934,17.62041709563977,central
3564.102564102564,1179.4871794871794,-0.7196803450186396,-41.23464636808699,-24.798353367716008,17.74860428833258,central
3653.846153846154,1179.4871794871794,-0.722834934714266,-41.415391043741835,-25.006660192656494,17.867772186289404,central
3743.5897435897436,1179.4871794871794,-0.7257698819411831,-41.583551132937814,-25.201133580987122,17.97872791799827,central
3833.333333333333,1179.4871794871794,-0.7285048364157406,-41.74025248149038,-25.382935175672394,18.082193269533313,central
3923.076923076923,1179.4871794871794,-0.7310573394474498,-41.886500132401665,-25.5531121635192,18.17881477694923,central
4012.8205128205127,1179.4871794871794,-0.7334430829227973,-42.02319316453995,-25.712609752037395,18.269172553260393,central
4102.5641025641025,1179.4871794871794,-0.73567613317909,-42.15113751966613,-25.862282235473554,18.35378800585515,central
4192.3076923076915,1179.4871794871794,-0.7377691248451147,-42.2710571086854,-26.002902797470938,18.433130584685706,central
4282.051282051281,1179.4871794871794,-0.7397334289736901,-42.38360344493289,-26.135172188973897,18.507623685941684,central
4371.794871794871,1179.4871794871794,-0.7415792991459051,-42.4893640153299,-26.259726408936544,18.577649821004663,central
4461.538461538461,1179.4871794871794,-0.7433159986760837,-42.58886956869148,-26.377143503500466,18.643555146725497,central
4551.282051282051,1179.4871794871794,-0.7449519115783033,-42.68260047363967,-26.487949587429572,18.70565344065422,central
4641.025641025641,1179.4871794871794,-0.746494639558232,-42.77099227582632,-26.59262418023515,18.76422959381671,central
4730.7692307692305,1179.4871794871794,-0.747951086957856,-42.85444056490758,-26.6916049388649,18.81954268392462,central
4820.51282051282,1179.4871794871794,-0.7493275352962039,-42.93330524541271,-26.78529185919295,18.871828683427275,central
4910.25641025641,1179.4871794871794,-0.7506297088085202,-43.007914291862164,-26.87405100986805,18.921302849450225,central
5000.0,1179.4871794871794,-0.7518628321826837,-43.07856705682066,-26.958217854333675,18.96816183629197,central
1500.0,1358.974358974359,-0.3943146765119504,-22.59256676420109,-7.67399343184394,4.875408935501155,central
1589.7435897435898,1358.974358974359,-0.4232918631557607,-24.252837261054278,-8.825829615238955,5.401757489539043,central
