Lambda_GeV,mrho_GeV,theta_rad,theta_deg,Deltakappa_pct,sigmaBR_WW_fb
1500.0,1000.0,-0.5401216930812027,-30.946693437013312,-14.235389177999524,11.529810666214054
1589.7435897435898,1000.0,-0.5634703787652071,-32.28447458388429,-15.459340455354731,12.344050327173354
1679.4871794871794,1000.0,-0.5840224752681918,-33.462022973650896,-16.574852397448993,13.07595604489288
1769.2307692307693,1000.0,-0.6021164142102099,-34.498729309795934,-17.586124997729335,13.73106721527386
1858.974358974359,1000.0,-0.61806724475245,-35.41264457959466,-18.500006541954505,14.31621510288493
1948.7179487179487,1000.0,-0.6321581733002459,-36.219995314803775,-19.324584896636864,14.838583585547067
2038.4615384615386,1000.0,-0.6446383061613083,-36.93505425550518,-20.06828355608358,15.305159009098992
2128.205128205128,1000.0,-0.6557238092312567,-37.57020679519254,-20.739319468228622,15.722439537658117
2217.948717948718,1000.0,-0.6656007336041955,-38.13611287633183,-21.345404499768115,16.096307057401965
2307.6923076923076,1000.0,-0.6744284756682185,-38.641905239230454,-21.893603237070113,16.43199525278038
2397.4358974358975,1000.0,-0.6823433027719867,-39.09539142785213,-22.390286718810337,16.73411095473255
2487.1794871794873,1000.0,-0.6894616567086,-39.503243065500406,-22.841142125642012,17.006682232518067
2576.923076923077,1000.0,-0.6958831103178772,-39.871165255651036,-23.251212861980484,17.253217472042856
2666.6666666666665,1000.0,-0.7016929425289331,-40.2040441210237,-23.624953175456152,17.476766494331002
2756.4102564102564,1000.0,-0.7069643437420206,-40.50607316265375,-23.966287801129283,17.679978942419133
2846.1538461538457,1000.0,-0.7117602850636826,-40.78086035917738,-24.27867115991422,17.86515765113904
2935.8974358974356,1000.0,-0.7161350927135943,-41.031518373698866,-24.56514316256443,18.034306148107813
3025.6410256410254,1000.0,-0.7201357694604368,-41.260740266489066,-24.82838020891115,18.18917022649992
3115.3846153846152,1000.0,-0.7238031019608023,-41.470862940831175,-25.070740884923627,18.33127393931932
3205.128205128205,1000.0,-0.7271725884472575,-41.66392029563142,-25.294306381267806,18.461950550562953
3294.871794871795,1000.0,-0.7302752164471478,-41.84168778542425,-25.500915936574852,18.582369037932473
3384.6153846153848,1000.0,-0.7331381156666082,-42.00571982787063,-25.69219774195882,18.693556732733786
3474.358974358974,1000.0,-0.7357851070900182,-42.15738126483935,-25.869595790363466,18.79641863951524
3564.102564102564,1000.0,-0.7382371658027458,-42.29787388019692,-26.034393152303316,18.891753920515487
3653.846153846154,1000.0,-0.7405128120381945,-42.428258805152964,-26.187732131336915,18.980269969080965
3743.5897435897436,1000.0,-0.7426284424327324,-42.549475497769585,-26.33063171194161,19.062594437650063
3833.333333333333,1000.0,-0.7445986113829222,-42.66235786354318,-26.464002667459173,19.13928553245527
3923.076923076923,1000.0,-0.7464362706753135,-42.7676479851802,-26.588660651044727,19.21084083981458
4012.8205128205127,1000.0,-0.7481529741408249,-42.86600784842948,-26.705337550523822,19.277704907880263
4102.5641025641025,1000.0,-0.749759052921169,-42.95802938410872,-26.814691349900222,19.340275772615744
4192.3076923076915,1000.0,-0.7512637659790219,-43.044243091701915,-26.91731470634763,19.39891058698815
4282.051282051281,1000.0,-0.7526754296990681,-43.1251254649523,-27.0137424218282,19.453930487237347
4371.794871794871,1000.0,-0.7540015297824226,-43.20110540294046,-27.10445796274028,19.505624808961336
4461.538461538461,1000.0,-0.7552488181065868,-43.272569759751015,-27.18989915883633,19.55425474804523
4551.282051282051,1000.0,-0.756423396786019,-43.33986816078853,-27.270463193661055,19.600056546622614
4641.025641025641,1000.0,-0.7575307913075077,-43.40331719312574,-27.346510982537207,19.64324427183365
4730.7692307692305,1000.0,-0.7585760143159127,-43.46320406015732,-27.418371020296895,19.684012244737197
4820.51282051282,1000.0,-0.7595636213781783,-43.51978977664245,-27.486342769179473,19.722537168011993
4910.25641025641,1000.0,-0.7604977598476519,-43.57331196842409,-27.55069964729433,19.758979993763454
5000.0,1000.0,-0.7613822117791971,-43.62398733128383,-27.61169166951557,19.793487566604373
1500.0,1179.4871794871794,-0.464817957936862,-26.63210723167162,-10.609681739211318,5.983441764474891
1589.7435897435898,1179.4871794871794,-0.4921606884213645,-28.19873028879731,-11.868607612353832,6.515466707768979
1679.4871794871794,1179.4871794871794,-0.5169021043343115,-29.616308999786987,-13.064570416761434,7.0138940765999225
1769.2307692307693,1179.4871794871794,-0.5391952254391634,-30.893610751269023,-14.187783286663135,7.475801104970408
1858.974358974359,1179.4871794871794,-0.5592321612103986,-32.04164260533551,-15.233727342019709,7.900531244862321
